datetime,open,high,low,close,volume,amount
2025-05-20 11:30:00,5.729,5.748,5.729,5.746,6022698,34576309.22
2025-05-20 13:15:00,5.746,5.764,5.743,5.753,13979854,80430760.01
2025-05-20 13:30:00,5.753,5.757,5.747,5.749,2526268,14528567.27
2025-05-20 13:45:00,5.748,5.751,5.743,5.75,3168800,18214262.4
2025-05-20 14:00:00,5.75,5.751,5.743,5.748,5794367,33302158.6
2025-05-20 14:15:00,5.749,5.752,5.745,5.751,5110046,29379357.8
2025-05-20 14:30:00,5.751,5.755,5.749,5.75,6876024,39546306.03
2025-05-20 14:45:00,5.751,5.754,5.748,5.748,7402713,42565599.75
2025-05-20 15:00:00,5.749,5.751,5.747,5.748,8196897,47121228.55
2025-05-21 09:45:00,5.739,5.753,5.738,5.75,12523454,71972290.14
2025-05-21 10:00:00,5.75,5.752,5.738,5.739,3968604,22791692.77
2025-05-21 10:15:00,5.738,5.74,5.731,5.739,7641930,43839205.1
2025-05-21 10:30:00,5.739,5.748,5.735,5.745,6435224,36955346.36
2025-05-21 10:45:00,5.745,5.753,5.741,5.742,6205719,35653924.23
2025-05-21 11:00:00,5.742,5.751,5.737,5.75,4142945,23805361.97
2025-05-21 11:15:00,5.751,5.755,5.747,5.751,5152461,29631803.21
2025-05-21 11:30:00,5.751,5.764,5.75,5.754,5814037,33465596.97
2025-05-21 13:15:00,5.754,5.76,5.748,5.751,3987278,22938810.33
2025-05-21 13:30:00,5.75,5.759,5.749,5.757,2758367,15874402.08
2025-05-21 13:45:00,5.757,5.758,5.75,5.752,2460196,14154327.65
2025-05-21 14:00:00,5.752,5.755,5.749,5.751,2778933,15983496.3
2025-05-21 14:15:00,5.751,5.752,5.746,5.752,5213912,29979994.0
2025-05-21 14:30:00,5.752,5.754,5.749,5.754,3462511,19917517.44
2025-05-21 14:45:00,5.754,5.762,5.753,5.758,5830354,33569234.88
2025-05-21 15:00:00,5.758,5.76,5.755,5.757,4475169,25765039.66
2025-05-22 09:45:00,5.733,5.757,5.722,5.757,16287828,93579001.14
2025-05-22 10:00:00,5.756,5.765,5.74,5.751,10934733,62896584.22
2025-05-22 10:15:00,5.751,5.752,5.737,5.738,8282106,47558613.35
2025-05-22 10:30:00,5.737,5.744,5.734,5.739,5923974,33997686.79
2025-05-22 10:45:00,5.738,5.742,5.73,5.73,5346359,30656022.51
2025-05-22 11:00:00,5.73,5.732,5.708,5.71,10533159,60214558.95
2025-05-22 11:15:00,5.71,5.719,5.704,5.713,11816500,67495848.0
2025-05-22 11:30:00,5.713,5.731,5.712,5.731,6861130,39277682.21
2025-05-22 13:15:00,5.73,5.732,5.719,5.722,9628800,55118460.8
2025-05-22 13:30:00,5.721,5.721,5.713,5.718,5209189,29782669.91
2025-05-22 13:45:00,5.717,5.72,5.715,5.717,5340800,30535133.87
2025-05-22 14:00:00,5.717,5.725,5.714,5.722,5030546,28776399.97
2025-05-22 14:15:00,5.722,5.722,5.712,5.712,2226700,12726332.73
2025-05-22 14:30:00,5.712,5.718,5.711,5.714,1993800,11393237.8
2025-05-22 14:45:00,5.714,5.718,5.712,5.717,7535110,43068177.06
2025-05-22 15:00:00,5.717,5.717,5.707,5.71,26352591,150508431.4
2025-05-23 09:45:00,5.707,5.724,5.701,5.717,11994177,68534727.38
2025-05-23 10:00:00,5.718,5.724,5.709,5.721,8778737,50196818.17
2025-05-23 10:15:00,5.721,5.728,5.715,5.716,7358204,42086474.15
2025-05-23 10:30:00,5.716,5.741,5.716,5.73,9756886,55897199.89
2025-05-23 10:45:00,5.73,5.734,5.723,5.727,13649850,78186340.8
2025-05-23 11:00:00,5.728,5.739,5.726,5.739,6576394,37713427.46
2025-05-23 11:15:00,5.739,5.747,5.737,5.737,16235922,93199604.25
2025-05-23 11:30:00,5.737,5.743,5.726,5.727,3263715,18707614.38
2025-05-23 13:15:00,5.727,5.727,5.715,5.722,3567918,20413248.18
2025-05-23 13:30:00,5.722,5.73,5.719,5.726,2630522,15059738.45
2025-05-23 13:45:00,5.726,5.728,5.719,5.719,2511520,14370917.44
2025-05-23 14:00:00,5.719,5.719,5.706,5.706,4661968,26621391.27
2025-05-23 14:15:00,5.706,5.707,5.668,5.672,47071574,267476373.99
2025-05-23 14:30:00,5.671,5.682,5.668,5.678,15251433,86567133.71
2025-05-23 14:45:00,5.678,5.679,5.664,5.673,24056860,136450509.92
2025-05-23 15:00:00,5.674,5.674,5.66,5.661,13520445,76593320.92
2025-05-26 09:45:00,5.657,5.675,5.651,5.674,26067998,147718655.33
2025-05-26 10:00:00,5.674,5.679,5.665,5.676,10174399,57722756.99
2025-05-26 10:15:00,5.676,5.693,5.673,5.687,12763732,72553307.27
2025-05-26 10:30:00,5.687,5.7,5.687,5.699,8086431,46054920.02
2025-05-26 10:45:00,5.699,5.704,5.691,5.692,14225333,81022754.99
2025-05-26 11:00:00,5.692,5.693,5.683,5.683,9293664,52846871.39
2025-05-26 11:15:00,5.683,5.686,5.677,5.677,14925130,84774738.4
2025-05-26 11:30:00,5.677,5.678,5.645,5.654,10957419,62008034.12
2025-05-26 13:15:00,5.653,5.663,5.652,5.663,3628963,20537511.27
2025-05-26 13:30:00,5.663,5.663,5.653,5.656,2884363,16317802.95
2025-05-26 13:45:00,5.656,5.665,5.655,5.662,2870300,16247811.53
2025-05-26 14:00:00,5.661,5.672,5.661,5.67,5941057,33671930.72
2025-05-26 14:15:00,5.67,5.678,5.666,5.675,3137306,17797936.94
2025-05-26 14:30:00,5.675,5.676,5.662,5.67,4123085,23375143.23
2025-05-26 14:45:00,5.67,5.676,5.667,5.669,10617707,60209477.16
2025-05-26 15:00:00,5.668,5.674,5.668,5.672,28481019,161525352.42
2025-05-27 09:45:00,5.672,5.672,5.637,5.643,91520792,517153488.66
2025-05-27 10:00:00,5.644,5.66,5.642,5.655,14073247,79546683.13
2025-05-27 10:15:00,5.655,5.656,5.646,5.655,12029774,67996292.57
2025-05-27 10:30:00,5.655,5.656,5.646,5.654,8214661,46429263.97
2025-05-27 10:45:00,5.654,5.654,5.642,5.643,5496773,31036612.62
2025-05-27 11:00:00,5.643,5.649,5.64,5.642,3510641,19812887.59
